lat,long,city,name,link,channel,publish_time,id,statistics.viewCount,statistics.likeCount
48.71167,44.51389,Волгоград,МакСалат Шейкер (2000-2003 гг),https://www.youtube.com/watch?v=g579aU2EHQM,albert_cancook,2021-11-11T14:00:30Z,g579aU2EHQM,3622223,185881
51.67167,39.21056,Воронеж,Обзор сортов болгарского перца. Первая серия.,https://www.youtube.com/watch?v=7hkr4SWwgkg,Дачная Ярмарка,2021-01-07T07:37:42Z,7hkr4SWwgkg,199464,3450
56.83333,60.58333,Екатеринбург,ТЕСТО ДЛЯ ПИЦЦЫ. Правильное дрожжевое тесто для пиццы,https://www.youtube.com/watch?v=b5bou0B62LQ,ТАК ВКУСНО!,2019-03-21T15:28:52Z,b5bou0B62LQ,1107307,20545
55.79083,49.11444,Казань,Тар Тар Панини,https://www.youtube.com/watch?v=D_s6K2zjD0s,albert_cancook,2021-12-19T14:00:03Z,D_s6K2zjD0s,6356659,296095
45.03333,38.98333,Краснодар,Shake Shack Burger / ФастФуд Сеть в США,https://www.youtube.com/watch?v=tw7uO8Z0ifo,albert_cancook,2022-02-16T17:20:44Z,tw7uO8Z0ifo,26652052,942425
56.012083,92.871295,Красноярск,ЛУЧШИЙ рецепт домашнего Наполеона👌,https://www.youtube.com/watch?v=kV35qKdA4_s,Читмил,2022-05-05T13:00:49Z,kV35qKdA4_s,4782257,230506
55.75583,37.61778,Москва,Читос крылья и соус из Чик-Фил-А / Cosmic Wings and Chik-Fil-A sauce,https://www.youtube.com/watch?v=SgOgCs3LYbQ,albert_cancook,2021-07-28T13:00:23Z,SgOgCs3LYbQ,84010122,1853734
56.32694,44.0075,Нижний Новгород,ШОКОЛАДНЫЙ МАННИК вкуснейший и простейший ПОСТНЫЙ ПИРОГ,https://www.youtube.com/watch?v=wcISr1E29jc,Ирина Воскресенская,2019-04-17T20:16:35Z,wcISr1E29jc,1205724,44667
55.01667,82.91667,Новосибирск,Макароны с вялеными томатами,https://www.youtube.com/watch?v=skgiiwbxcyA,albert_cancook,2021-04-02T13:00:32Z,skgiiwbxcyA,580276,26247
54.96667,73.38333,Омск,Тако де Биррия (с говяжьими щечками),https://www.youtube.com/watch?v=SuWhwiP6XAA,albert_cancook,2021-05-02T13:00:22Z,SuWhwiP6XAA,141158,6591
58.01389,56.24889,Пермь,Настойка из Терна - Рецепт Вкусной Настойки к Праздничному Столу,https://www.youtube.com/watch?v=O2g6dfWrZXE,Простая Кухня Для Вас,2020-12-28T10:51:52Z,O2g6dfWrZXE,25334,394
47.24056,39.71056,Ростов-на-Дону,БАЛЫК из САЗАНА. Выпуск №363,https://www.youtube.com/watch?v=0U4_F1m2bcA,Andrey Rostovskiy,2018-04-29T20:25:24Z,0U4_F1m2bcA,2822273,42842
53.18333,50.11667,Самара,Сыр на кефире малой жирности. Ответы на ваши  вопросы.,https://www.youtube.com/watch?v=Qe70JIiTc3E,Вкусно с Любовью.,2019-09-06T05:18:14Z,Qe70JIiTc3E,2604188,63434
59.95,30.31667,Санкт-Петербург,Медово-Горчичный Соус,https://www.youtube.com/watch?v=6CXwzQx-Uew,albert_cancook,2021-10-29T13:00:06Z,6CXwzQx-Uew,3453705,185294
54.73333,55.96667,Уфа,Орео,https://www.youtube.com/watch?v=rxiPq0L2ze0,albert_cancook,2021-07-06T13:00:31Z,rxiPq0L2ze0,170769,12786
55.15,61.4,Челябинск,Перцовка,https://www.youtube.com/watch?v=gBd4nodI7oQ,albert_cancook,2021-06-19T16:00:20Z,gBd4nodI7oQ,35219674,761232
